,filenames.noherb,filenames.estab,filenames.1974,mean.noherb.fn,mean.estab.fn,mean.1974.fn,std.noherb.fn,std.estab.fn,std.1974.fn,,,,,,,,,
11,noherb_clip/tifsonly/noherb_noherb_curmap_2_3_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_3_asc_clip.tif,1974/curmaps/clip?curmap_2_3_asc.tif,0.245,0.202,0.553,0.031,0.026,0.062,,2,3,CA,JA,,0.245 ± 0.031,0.202 ± 0.026,0.553 ± 0.062
12,noherb_clip/tifsonly/noherb_noherb_curmap_2_4_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_4_asc_clip.tif,1974/curmaps/clip?curmap_2_4_asc.tif,0.098,0.105,0.180,0.011,0.011,0.027,,2,4,CA,WR,,0.098 ± 0.011,0.105 ± 0.011,0.18 ± 0.027
13,noherb_clip/tifsonly/noherb_noherb_curmap_2_5_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_5_asc_clip.tif,1974/curmaps/clip?curmap_2_5_asc.tif,0.100,0.107,0.168,0.008,0.008,0.022,,2,5,CA,SA,,0.1 ± 0.008,0.107 ± 0.008,0.168 ± 0.022
14,noherb_clip/tifsonly/noherb_noherb_curmap_2_6_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_6_asc_clip.tif,1974/curmaps/clip?curmap_2_6_asc.tif,0.111,0.115,0.206,0.011,0.011,0.028,,2,6,CA,WT,,0.111 ± 0.011,0.115 ± 0.011,0.206 ± 0.028
15,noherb_clip/tifsonly/noherb_noherb_curmap_2_7_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_7_asc_clip.tif,1974/curmaps/clip?curmap_2_7_asc.tif,0.126,0.129,0.265,0.016,0.015,0.039,,2,7,CA,AC,,0.126 ± 0.016,0.129 ± 0.015,0.265 ± 0.039
16,noherb_clip/tifsonly/noherb_noherb_curmap_2_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_8_asc_clip.tif,1974/curmaps/clip?curmap_2_8_asc.tif,0.112,0.119,0.238,0.015,0.015,0.036,,2,8,CA,JB,,0.112 ± 0.015,0.119 ± 0.015,0.238 ± 0.036
17,noherb_clip/tifsonly/noherb_noherb_curmap_2_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_2_9_asc_clip.tif,1974/curmaps/clip?curmap_2_9_asc.tif,0.115,0.122,0.243,0.016,0.016,0.037,,2,9,CA,GI,,0.115 ± 0.016,0.122 ± 0.016,0.243 ± 0.037
18,noherb_clip/tifsonly/noherb_noherb_curmap_3_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_10_asc_clip.tif,1974/curmaps/clip?curmap_3_10_asc.tif,0.102,0.110,0.195,0.013,0.013,0.030,,3,10,JA,CB,,0.102 ± 0.013,0.11 ± 0.013,0.195 ± 0.03
19,noherb_clip/tifsonly/noherb_noherb_curmap_3_4_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_4_asc_clip.tif,1974/curmaps/clip?curmap_3_4_asc.tif,0.109,0.115,0.204,0.014,0.013,0.031,,3,4,JA,WR,,0.109 ± 0.014,0.115 ± 0.013,0.204 ± 0.031
20,noherb_clip/tifsonly/noherb_noherb_curmap_3_5_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_5_asc_clip.tif,1974/curmaps/clip?curmap_3_5_asc.tif,0.104,0.112,0.179,0.009,0.009,0.023,,3,5,JA,SA,,0.104 ± 0.009,0.112 ± 0.009,0.179 ± 0.023
21,noherb_clip/tifsonly/noherb_noherb_curmap_3_6_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_6_asc_clip.tif,1974/curmaps/clip?curmap_3_6_asc.tif,0.104,0.109,0.183,0.010,0.010,0.025,,3,6,JA,WT,,0.104 ± 0.01,0.109 ± 0.01,0.183 ± 0.025
22,noherb_clip/tifsonly/noherb_noherb_curmap_3_7_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_7_asc_clip.tif,1974/curmaps/clip?curmap_3_7_asc.tif,0.107,0.111,0.194,0.013,0.013,0.031,,3,7,JA,AC,,0.107 ± 0.013,0.111 ± 0.013,0.194 ± 0.031
23,noherb_clip/tifsonly/noherb_noherb_curmap_3_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_8_asc_clip.tif,1974/curmaps/clip?curmap_3_8_asc.tif,0.107,0.113,0.215,0.014,0.014,0.033,,3,8,JA,JB,,0.107 ± 0.014,0.113 ± 0.014,0.215 ± 0.033
24,noherb_clip/tifsonly/noherb_noherb_curmap_3_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_3_9_asc_clip.tif,1974/curmaps/clip?curmap_3_9_asc.tif,0.114,0.123,0.252,0.017,0.017,0.038,,3,9,JA,GI,,0.114 ± 0.017,0.123 ± 0.017,0.252 ± 0.038
25,noherb_clip/tifsonly/noherb_noherb_curmap_4_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_4_10_asc_clip.tif,1974/curmaps/clip?curmap_4_10_asc.tif,0.134,0.149,0.342,0.017,0.018,0.046,,4,10,WR,CB,,0.134 ± 0.017,0.149 ± 0.018,0.342 ± 0.046
26,noherb_clip/tifsonly/noherb_noherb_curmap_4_5_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_4_5_asc_clip.tif,1974/curmaps/clip?curmap_4_5_asc.tif,0.120,0.129,0.241,0.011,0.011,0.032,,4,5,WR,SA,,0.12 ± 0.011,0.129 ± 0.011,0.241 ± 0.032
27,noherb_clip/tifsonly/noherb_noherb_curmap_4_6_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_4_6_asc_clip.tif,1974/curmaps/clip?curmap_4_6_asc.tif,0.090,0.095,0.153,0.007,0.007,0.020,,4,6,WR,WT,,0.09 ± 0.007,0.095 ± 0.007,0.153 ± 0.02
28,noherb_clip/tifsonly/noherb_noherb_curmap_4_7_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_4_7_asc_clip.tif,1974/curmaps/clip?curmap_4_7_asc.tif,0.085,0.090,0.149,0.008,0.008,0.023,,4,7,WR,AC,,0.085 ± 0.008,0.09 ± 0.008,0.149 ± 0.023
29,noherb_clip/tifsonly/noherb_noherb_curmap_4_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_4_8_asc_clip.tif,1974/curmaps/clip?curmap_4_8_asc.tif,0.095,0.097,0.170,0.010,0.009,0.026,,4,8,WR,JB,,0.095 ± 0.01,0.097 ± 0.009,0.17 ± 0.026
30,noherb_clip/tifsonly/noherb_noherb_curmap_4_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_4_9_asc_clip.tif,1974/curmaps/clip?curmap_4_9_asc.tif,0.105,0.106,0.196,0.013,0.012,0.030,,4,9,WR,GI,,0.105 ± 0.013,0.106 ± 0.012,0.196 ± 0.03
31,noherb_clip/tifsonly/noherb_noherb_curmap_5_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_5_10_asc_clip.tif,1974/curmaps/clip?curmap_5_10_asc.tif,0.125,0.133,0.259,0.012,0.012,0.034,,5,10,SA,CB,,0.125 ± 0.012,0.133 ± 0.012,0.259 ± 0.034
32,noherb_clip/tifsonly/noherb_noherb_curmap_5_6_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_5_6_asc_clip.tif,1974/curmaps/clip?curmap_5_6_asc.tif,0.096,0.100,0.151,0.007,0.007,0.018,,5,6,SA,WT,,0.096 ± 0.007,0.1 ± 0.007,0.151 ± 0.018
33,noherb_clip/tifsonly/noherb_noherb_curmap_5_7_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_5_7_asc_clip.tif,1974/curmaps/clip?curmap_5_7_asc.tif,0.093,0.097,0.149,0.007,0.007,0.019,,5,7,SA,AC,,0.093 ± 0.007,0.097 ± 0.007,0.149 ± 0.019
34,noherb_clip/tifsonly/noherb_noherb_curmap_5_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_5_8_asc_clip.tif,1974/curmaps/clip?curmap_5_8_asc.tif,0.101,0.103,0.162,0.008,0.008,0.021,,5,8,SA,JB,,0.101 ± 0.008,0.103 ± 0.008,0.162 ± 0.021
35,noherb_clip/tifsonly/noherb_noherb_curmap_5_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_5_9_asc_clip.tif,1974/curmaps/clip?curmap_5_9_asc.tif,0.107,0.109,0.177,0.010,0.009,0.023,,5,9,SA,GI,,0.107 ± 0.01,0.109 ± 0.009,0.177 ± 0.023
36,noherb_clip/tifsonly/noherb_noherb_curmap_6_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_6_10_asc_clip.tif,1974/curmaps/clip?curmap_6_10_asc.tif,0.094,0.096,0.152,0.008,0.008,0.020,,6,10,WT,CB,,0.094 ± 0.008,0.096 ± 0.008,0.152 ± 0.02
37,noherb_clip/tifsonly/noherb_noherb_curmap_6_7_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_6_7_asc_clip.tif,1974/curmaps/clip?curmap_6_7_asc.tif,0.140,0.146,0.312,0.014,0.014,0.040,,6,7,WT,AC,,0.14 ± 0.014,0.146 ± 0.014,0.312 ± 0.04
38,noherb_clip/tifsonly/noherb_noherb_curmap_6_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_6_8_asc_clip.tif,1974/curmaps/clip?curmap_6_8_asc.tif,0.140,0.141,0.250,0.014,0.014,0.033,,6,8,WT,JB,,0.14 ± 0.014,0.141 ± 0.014,0.25 ± 0.033
39,noherb_clip/tifsonly/noherb_noherb_curmap_6_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_6_9_asc_clip.tif,1974/curmaps/clip?curmap_6_9_asc.tif,0.121,0.116,0.198,0.013,0.012,0.028,,6,9,WT,GI,,0.121 ± 0.013,0.116 ± 0.012,0.198 ± 0.028
40,noherb_clip/tifsonly/noherb_noherb_curmap_7_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_7_10_asc_clip.tif,1974/curmaps/clip?curmap_7_10_asc.tif,0.089,0.090,0.148,0.009,0.008,0.022,,7,10,AC,CB,,0.089 ± 0.009,0.09 ± 0.008,0.148 ± 0.022
41,noherb_clip/tifsonly/noherb_noherb_curmap_7_8_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_7_8_asc_clip.tif,1974/curmaps/clip?curmap_7_8_asc.tif,0.123,0.135,0.277,0.016,0.017,0.041,,7,8,AC,JB,,0.123 ± 0.016,0.135 ± 0.017,0.277 ± 0.041
42,noherb_clip/tifsonly/noherb_noherb_curmap_7_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_7_9_asc_clip.tif,1974/curmaps/clip?curmap_7_9_asc.tif,0.106,0.111,0.206,0.014,0.014,0.033,,7,9,AC,GI,,0.106 ± 0.014,0.111 ± 0.014,0.206 ± 0.033
43,noherb_clip/tifsonly/noherb_noherb_curmap_8_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_8_10_asc_clip.tif,1974/curmaps/clip?curmap_8_10_asc.tif,0.101,0.098,0.168,0.011,0.010,0.025,,8,10,JB,CB,,0.101 ± 0.011,0.098 ± 0.01,0.168 ± 0.025
44,noherb_clip/tifsonly/noherb_noherb_curmap_8_9_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_8_9_asc_clip.tif,1974/curmaps/clip?curmap_8_9_asc.tif,0.223,0.202,0.484,0.028,0.026,0.058,,8,9,JB,GI,,0.223 ± 0.028,0.202 ± 0.026,0.484 ± 0.058
45,noherb_clip/tifsonly/noherb_noherb_curmap_9_10_asc_clip.tif,estab_clip/tifsonly/estab_estab_curmap_9_10_asc_clip.tif,1974/curmaps/clip?curmap_9_10_asc.tif,0.117,0.108,0.193,0.014,0.012,0.029,,9,10,GI,CB,,0.117 ± 0.014,0.108 ± 0.012,0.193 ± 0.029
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
