source,ground,ramets.s,noramets.s,ramets,noramets,linear,type,value,Gst,G'st,gdist
PB,JA,0.05875,0.151832461,0.047,0.029,0.029866117,i.noherb,0.467745828,0.043,0.125,1
PB,JB,0.105,0.329842932,0.084,0.063,0.067235859,i.1974,0.348762942,0.067,0.196,1
PB,JB,0.105,0.329842932,0.084,0.063,0.067235859,i.estab,0.550406424,0.067,0.196,1
PB,JB,0.105,0.329842932,0.084,0.063,0.067235859,i.noherb,0.441268214,0.067,0.196,1
PB,SA,0.1825,0.696335079,0.146,0.133,0.153402537,i.1974,0.211028987,0.142,0.566,2
PB,SA,0.1825,0.696335079,0.146,0.133,0.153402537,i.estab,0.479271408,0.142,0.566,2
PB,SA,0.1825,0.696335079,0.146,0.133,0.153402537,i.noherb,0.388977737,0.142,0.566,2
PB,WR,0.0625,0.235602094,0.05,0.045,0.047120419,i.1974,0.212728944,0.049,0.148,2
PB,WR,0.0625,0.235602094,0.05,0.045,0.047120419,i.estab,0.445365584,0.049,0.148,2
PB,WR,0.0625,0.235602094,0.05,0.045,0.047120419,i.noherb,0.359122911,0.049,0.148,2
PB,WT,0.09125,0.32460733,0.073,0.062,0.066098081,i.1974,0.409751114,0.052,0.161,1
PB,WT,0.09125,0.32460733,0.073,0.062,0.066098081,i.estab,0.670047793,0.052,0.161,1
PB,WT,0.09125,0.32460733,0.073,0.062,0.066098081,i.noherb,0.53556106,0.052,0.161,1
SA,AC,0.23875,0.942408377,0.191,0.18,0.219512195,i.1974,0.209651593,0.196,0.635,2
SA,AC,0.23875,0.942408377,0.191,0.18,0.219512195,i.estab,0.479424896,0.196,0.635,2
SA,AC,0.23875,0.942408377,0.191,0.18,0.219512195,i.noherb,0.381501476,0.196,0.635,2
SA,CB,0.16875,0.680628272,0.135,0.13,0.149425287,i.1974,0.365139147,0.136,0.507,2
SA,CB,0.16875,0.680628272,0.135,0.13,0.149425287,i.estab,0.6555816,0.136,0.507,2
SA,CB,0.16875,0.680628272,0.135,0.13,0.149425287,i.noherb,0.511498313,0.136,0.507,2
SA,GI,0.19875,0.821989529,0.159,0.157,0.18623962,i.1974,0.249488834,0.163,0.573,2
SA,GI,0.19875,0.821989529,0.159,0.157,0.18623962,i.estab,0.538920847,0.163,0.573,2
SA,GI,0.19875,0.821989529,0.159,0.157,0.18623962,i.noherb,0.438243532,0.163,0.573,2
SA,JB,0.2075,0.837696335,0.166,0.16,0.19047619,i.1974,0.228901144,0.165,0.576,2
SA,JB,0.2075,0.837696335,0.166,0.16,0.19047619,i.estab,0.507617251,0.165,0.576,2
SA,JB,0.2075,0.837696335,0.166,0.16,0.19047619,i.noherb,0.41351877,0.165,0.576,2
SA,WT,0.1925,0.769633508,0.154,0.147,0.172332943,i.1974,0.213464437,0.147,0.56,2
SA,WT,0.1925,0.769633508,0.154,0.147,0.172332943,i.estab,0.492880063,0.147,0.56,2
SA,WT,0.1925,0.769633508,0.154,0.147,0.172332943,i.noherb,0.392471657,0.147,0.56,2
WR,AC,0.07375,0.272251309,0.059,0.052,0.054852321,i.1974,0.210840575,0.071,0.183,2
WR,AC,0.07375,0.272251309,0.059,0.052,0.054852321,i.estab,0.444537171,0.071,0.183,2
WR,AC,0.07375,0.272251309,0.059,0.052,0.054852321,i.noherb,0.348122976,0.071,0.183,2
WR,CB,0.0625,0.214659686,0.05,0.041,0.042752868,i.1974,0.483060425,0.049,0.142,1
WR,CB,0.0625,0.214659686,0.05,0.041,0.042752868,i.estab,0.737777136,0.049,0.142,1
WR,CB,0.0625,0.214659686,0.05,0.041,0.042752868,i.noherb,0.549685518,0.049,0.142,1
WR,GI,0.05875,0.22513089,0.047,0.043,0.044932079,i.1974,0.276391272,0.046,0.127,1
WR,GI,0.05875,0.22513089,0.047,0.043,0.044932079,i.estab,0.523367037,0.046,0.127,1
WR,GI,0.05875,0.22513089,0.047,0.043,0.044932079,i.noherb,0.427592223,0.046,0.127,1
WR,JB,0.09,0.261780105,0.072,0.05,0.052631579,i.1974,0.239313647,0.059,0.161,2
WR,JB,0.09,0.261780105,0.072,0.05,0.052631579,i.estab,0.479672599,0.059,0.161,2
WR,JB,0.09,0.261780105,0.072,0.05,0.052631579,i.noherb,0.387565007,0.059,0.161,2
WR,SA,0.21625,0.890052356,0.173,0.17,0.204819277,i.1974,0.340364956,0.163,0.599,2
WR,SA,0.21625,0.890052356,0.173,0.17,0.204819277,i.estab,0.636565568,0.163,0.599,2
WR,SA,0.21625,0.890052356,0.173,0.17,0.204819277,i.noherb,0.490253925,0.163,0.599,2
WR,WT,0.07,0.261780105,0.056,0.05,0.052631579,i.1974,0.215622304,0.041,0.119,2
WR,WT,0.07,0.261780105,0.056,0.05,0.052631579,i.estab,0.471682026,0.041,0.119,2
WR,WT,0.07,0.261780105,0.056,0.05,0.052631579,i.noherb,0.369691691,0.041,0.119,2
WT,AC,1,0.371727749,0.8,0.071,0.076426265,i.1974,0.43990822,0.071,0.188,1
WT,AC,1,0.371727749,0.8,0.071,0.076426265,i.estab,0.720784342,0.071,0.188,1
WT,AC,1,0.371727749,0.8,0.071,0.076426265,i.noherb,0.574065293,0.071,0.188,1
WT,CB,0.08375,0.267015707,0.067,0.051,0.05374078,i.1974,0.214044085,0.045,0.133,2
WT,CB,0.08375,0.267015707,0.067,0.051,0.05374078,i.estab,0.472681947,0.045,0.133,2
WT,CB,0.08375,0.267015707,0.067,0.051,0.05374078,i.noherb,0.38340926,0.045,0.133,2
WT,GI,0.0625,0.172774869,0.05,0.033,0.034126163,i.1974,0.280024753,0.038,0.107,2
WT,GI,0.0625,0.172774869,0.05,0.033,0.034126163,i.estab,0.571086903,0.038,0.107,2
WT,GI,0.0625,0.172774869,0.05,0.033,0.034126163,i.noherb,0.49339861,0.038,0.107,2
WT,JB,0.06,0.12565445,0.048,0.024,0.024590164,i.1974,0.352208268,0.03,0.084,2
WT,JB,0.06,0.12565445,0.048,0.024,0.024590164,i.estab,0.695353738,0.03,0.084,2
WT,JB,0.06,0.12565445,0.048,0.024,0.024590164,i.noherb,0.57146653,0.03,0.084,2
